scour_depth,node_depth,k_py,p_ult_py,k_tz,t_ult_tz
2.500000,-6.607895,378.094607,4.087543,21.615001,212945.832428
2.500000,-6.118421,588.700623,3.893339,53.971570,1208828.196767
2.500000,-5.628947,207.513713,2.892082,145.221807,0.087597
2.500000,-5.139474,570.704013,3.562906,79.849505,1598320.966678
2.500000,-4.650000,441.874486,8.836277,26.835039,299357.209521
2.500000,-4.160526,148.633840,0.146088,56737521.762303,0.044809
2.500000,-3.671053,2373.938983,2.567402,68.501116,1063370.103683
2.500000,-3.181579,584.473319,1.916124,6236513626.006263,0.062013
2.500000,-2.692105,1335.642699,2.380268,20506.925441,2.850742
2.500000,-2.202632,0.001000,0.000000,0.001000,0.000000
2.500000,-1.713158,2657191670.218396,0.095538,0.001000,0.000000
2.500000,-1.223684,42042787352.343796,0.482189,1084.594569,0.386580
2.500000,-0.734211,40.592864,0.513037,0.001000,0.000000
2.500000,-0.244737,0.001000,0.000000,0.001000,0.000000
3.000000,-9.055263,1143.126951,8.707152,1219.051276,3.862673
3.000000,-8.565789,137.635086,3936561.556808,1735.990215,3.113306
3.000000,-8.076316,110.688862,2198306.536818,82.727298,1.206988
3.000000,-7.586842,506.860109,1.031303,165.300148,6514874.980309
3.000000,-7.097368,86.373466,2018340.973094,467952315.144339,0.034665
3.000000,-6.607895,474.512080,1.760124,105.163475,7.250603
3.000000,-6.118421,87.846896,3031084.125755,24.915477,0.333148
3.000000,-5.628947,384.785843,4.461635,124.586042,91.958170
3.000000,-5.139474,238.507170,3.380549,38.095121,0.108081
3.000000,-4.650000,23.007609,233312.139499,0.001000,0.000000
3.000000,-4.160526,1889.953557,3.585151,9083180664.945950,0.378455
3.000000,-3.671053,244.578867,0.734477,85584390.795465,0.013478
3.000000,-3.181579,780.479964,3.996404,282809.347592,8.733700
3.000000,-2.692105,0.001000,0.000000,0.001000,0.000000
3.000000,-2.202632,954395574.921065,0.060986,0.001000,0.000000
3.000000,-1.713158,175.401433,14.344348,80.730031,1.031842
3.000000,-1.223684,25.004222,130295.978836,0.001000,0.000000
3.000000,-0.734211,0.001000,0.000000,0.001000,0.000000
3.000000,-0.244737,0.001000,0.000000,0.001000,0.000000
3.500000,-9.055263,549.065945,8.558984,2138.092282,2.964281
3.500000,-8.565789,307.922436,18.614586,648.993053,8.199694
3.500000,-8.076316,138.279127,14.457921,711.491925,0.464937
3.500000,-7.586842,73.884726,2169451.300300,342.881613,5.678336
3.500000,-7.097368,96.159881,3468716.397301,147.027747,4.614486
3.500000,-6.607895,45627359302.994659,0.645636,35.092501,0.040253
3.500000,-6.118421,7242829176.822342,0.543774,188.253361,7.573219
3.500000,-5.628947,383.628353,3.526632,3471601053.025877,0.100751
3.500000,-5.139474,60.654566,0.205368,696.675101,0.020299
3.500000,-4.650000,1993.955811,1.538677,11675686878.278095,0.227185
3.500000,-4.160526,234.844795,0.740655,1095669843.652402,0.040346
3.500000,-3.671053,1664.578787,0.634992,78920.424106,3.419176
3.500000,-3.181579,90194259.086502,0.032146,0.001000,0.000000
3.500000,-2.692105,1331.575963,7.111840,9272922069.327961,0.306427
3.500000,-2.202632,27753148.322603,0.067978,0.001000,0.000000
3.500000,-1.713158,399.295540,2.824637,455.398836,1.801304
3.500000,-1.223684,31.698096,221444.500027,0.001000,0.000000
3.500000,-0.734211,21050407533.608330,0.185892,0.001000,0.000000
3.500000,-0.244737,0.001000,0.000000,0.001000,0.000000
4.000000,-9.055263,528.172212,9.425674,1140.946988,7.036432
4.000000,-8.565789,22016.063219,1.807803,886.737722,3.979431
4.000000,-8.076316,243.698707,10804151.858642,76367.678633,1.803195
4.000000,-7.586842,958.843199,1.692187,196.944127,0.929936
4.000000,-7.097368,602.602684,2.852287,149.121370,0.374121
4.000000,-6.607895,371.905628,3.575745,1051.764956,2.194426
4.000000,-6.118421,153.648932,7809038.094658,10.765410,28013.408552
4.000000,-5.628947,42.007531,867684.378163,7.191963,10290.634152
4.000000,-5.139474,22315145403.747982,1.127676,120.241962,0.714547
4.000000,-4.650000,482.813637,0.554542,5.434190,0.185294
4.000000,-4.160526,61744551351.634689,3.144829,195859.501010,4.514133
4.000000,-3.671053,0.001000,0.000000,0.001000,0.000000
4.000000,-3.181579,1043.617337,25.438927,23565004679.028076,0.459401
4.000000,-2.692105,1228275979.690866,0.097925,178.870639,0.034456
4.000000,-2.202632,467223898874.360291,3.270653,778.160631,2.481736
4.000000,-1.713158,91.752028,11.571838,0.001000,0.000000
4.000000,-1.223684,485.798507,0.155178,0.001000,0.000000
4.000000,-0.734211,0.001000,0.000000,0.001000,0.000000
4.000000,-0.244737,0.001000,0.000000,0.001000,0.000000
