scour_m,z_m,spring_type,k_FEM,k_ref,alpha_FEM,alpha_theory,ratio_FEM_theory,r_squared,n_regression_points
1.000000,-8.000000,k_tz,5458.813353,4222.353288,1.292837,0.935414,1.382101,0.766235,5
1.000000,-8.500000,k_tz,6298.435175,9558.657021,0.658925,0.939336,0.701479,0.887493,5
1.000000,-9.000000,k_tz,159.253355,3852.451674,0.041338,0.942809,0.043846,0.002722,5
2.000000,0.000000,k_py,0.000000,556.164761,0.000000,0.000000,,0.000000,0
2.000000,-0.500000,k_py,2514.678314,2285.306694,1.100368,0.000000,,0.441166,5
2.000000,-1.000000,k_py,8757.620899,1023.659653,8.555208,0.000000,,0.691373,5
2.000000,-1.500000,k_py,6191.642158,11446.153016,0.540937,0.000000,,0.571973,5
2.000000,-2.000000,k_py,1238.713782,7167.900097,0.172814,0.000000,,0.037663,5
2.000000,-2.500000,k_py,3591.642581,25.445010,141.153119,0.447214,315.627969,0.691531,5
2.000000,-3.000000,k_py,3303.866833,4295.612216,0.769126,0.577350,1.332165,0.259838,5
2.000000,-3.500000,k_py,12655.780407,10236.762820,1.236307,0.654654,1.888490,0.716996,5
2.000000,-4.000000,k_py,3378.281214,6379.349251,0.529565,0.707107,0.748918,0.275510,5
2.000000,-4.500000,k_py,6431.103450,17985.581802,0.357570,0.745356,0.479730,0.094536,5
2.000000,-5.000000,k_py,763.490658,5398.911809,0.141416,0.774597,0.182567,0.009291,5
2.000000,-5.500000,k_py,5536.183278,3024.927406,1.830187,0.797724,2.294261,0.620428,5
2.000000,-6.000000,k_py,8048.071694,4225.307160,1.904731,0.816497,2.332809,0.737479,5
2.000000,-6.500000,k_py,5027.640368,4739.202477,1.060862,0.832050,1.274998,0.048255,5
2.000000,-7.000000,k_py,202.827526,338.970767,0.598363,0.845154,0.707993,0.000240,5
2.000000,-7.500000,k_py,6435.934337,2931.063182,2.195768,0.856349,2.564104,0.455451,5
2.000000,-8.000000,k_py,9113.657624,779.710561,11.688514,0.866025,13.496733,0.178906,5
2.000000,-8.500000,k_py,308.803779,2497.578120,0.123641,0.874475,0.141389,0.001053,5
2.000000,-9.000000,k_py,11605.249033,5942.928856,1.952783,0.881917,2.214248,0.823851,5
2.000000,0.000000,k_tz,0.000000,177.896511,0.000000,0.000000,,0.000000,0
2.000000,-0.500000,k_tz,1115.159266,118.617695,9.401289,0.000000,,0.902920,5
2.000000,-1.000000,k_tz,0.000000,559.326370,0.000000,0.000000,,0.000000,0
2.000000,-1.500000,k_tz,1448.473835,583.259125,2.483414,0.000000,,0.956610,5
2.000000,-2.000000,k_tz,1725.856998,805.633652,2.142235,0.000000,,0.391546,4
2.000000,-2.500000,k_tz,354.734363,1818.548527,0.195065,0.447214,0.436178,0.706421,5
2.000000,-3.000000,k_tz,753.701978,1948.364277,0.386838,0.577350,0.670024,0.061726,5
2.000000,-3.500000,k_tz,2216.263646,4054.277160,0.546648,0.654654,0.835019,0.726520,5
2.000000,-4.000000,k_tz,70.955030,229.283817,0.309464,0.707107,0.437648,0.000271,5
2.000000,-4.500000,k_tz,6766.715180,2721.425164,2.486460,0.745356,3.335936,0.336618,5
2.000000,-5.000000,k_tz,709.497175,5656.199613,0.125437,0.774597,0.161939,0.423693,5
2.000000,-5.500000,k_tz,1175.221319,1315.643811,0.893267,0.797724,1.119770,0.035130,5
2.000000,-6.000000,k_tz,2469.299659,4011.991303,0.615480,0.816497,0.753806,0.480996,5
2.000000,-6.500000,k_tz,1426.730635,1182.523335,1.206514,0.832050,1.450049,0.220241,5
2.000000,-7.000000,k_tz,4129.111028,6496.250382,0.635615,0.845154,0.752069,0.141192,5
2.000000,-7.500000,k_tz,1738.062376,6284.402756,0.276568,0.856349,0.322961,0.189495,5
2.000000,-8.000000,k_tz,449.388475,4222.353288,0.106431,0.866025,0.122896,0.262110,5
2.000000,-8.500000,k_tz,974.772346,9558.657021,0.101978,0.874475,0.116616,0.071058,5
2.000000,-9.000000,k_tz,2885.416385,3852.451674,0.748982,0.881917,0.849266,0.438254,5
2.500000,0.000000,k_py,38.713473,556.164761,0.069608,0.000000,,0.543001,5
2.500000,-0.500000,k_py,42.773576,2285.306694,0.018717,0.000000,,0.006018,5
2.500000,-1.000000,k_py,1388.054640,1023.659653,1.355973,0.000000,,0.985315,5
2.500000,-1.500000,k_py,2977.366017,11446.153016,0.260119,0.000000,,0.750885,5
2.500000,-2.000000,k_py,10298.866186,7167.900097,1.436804,0.000000,,0.625176,5
2.500000,-2.500000,k_py,3115.456161,25.445010,122.438785,0.000000,,0.201078,5
2.500000,-3.000000,k_py,6807.622592,4295.612216,1.584785,0.408248,3.881915,0.705478,5
2.500000,-3.500000,k_py,9007.141367,10236.762820,0.879882,0.534522,1.646108,0.496177,5
2.500000,-4.000000,k_py,16639.670441,6379.349251,2.608365,0.612372,4.259442,0.724205,5
2.500000,-4.500000,k_py,18812.157309,17985.581802,1.045958,0.666667,1.568937,0.682534,5
2.500000,-5.000000,k_py,328.538279,5398.911809,0.060853,0.707107,0.086059,0.000206,5
2.500000,-5.500000,k_py,2846.970870,3024.927406,0.941170,0.738549,1.274350,0.075622,5
2.500000,-6.000000,k_py,1398.629810,4225.307160,0.331013,0.763763,0.433397,0.022878,5
2.500000,-6.500000,k_py,13218.333782,4739.202477,2.789147,0.784465,3.555479,0.533528,5
2.500000,-7.000000,k_py,29024.465888,338.970767,85.625277,0.801784,106.793484,0.523436,5
2.500000,-7.500000,k_py,730.551607,2931.063182,0.249245,0.816497,0.305261,0.003268,5
2.500000,-8.000000,k_py,779.872435,779.710561,1.000208,0.829156,1.206296,0.014967,5
2.500000,-8.500000,k_py,17673.206672,2497.578120,7.076138,0.840168,8.422288,0.777628,5
2.500000,-9.000000,k_py,1146.121659,5942.928856,0.192855,0.849837,0.226931,0.040528,5
2.500000,0.000000,k_tz,0.000000,177.896511,0.000000,0.000000,,0.000000,0
2.500000,-0.500000,k_tz,269.960771,118.617695,2.275890,0.000000,,0.693306,5
2.500000,-1.000000,k_tz,303.573071,559.326370,0.542748,0.000000,,0.759067,5
2.500000,-1.500000,k_tz,2296.087755,583.259125,3.936651,0.000000,,0.478094,4
2.500000,-2.000000,k_tz,1153.305567,805.633652,1.431551,0.000000,,0.902132,5
2.500000,-2.500000,k_tz,1331.438364,1818.548527,0.732143,0.000000,,0.148560,5
2.500000,-3.000000,k_tz,21.985920,1948.364277,0.011284,0.408248,0.027641,0.000187,5
2.500000,-3.500000,k_tz,2666.205122,4054.277160,0.657628,0.534522,1.230309,0.683401,5
2.500000,-4.000000,k_tz,7508.394056,229.283817,32.747161,0.612372,53.475890,0.519760,4
2.500000,-4.500000,k_tz,1497.671816,2721.425164,0.550326,0.666667,0.825489,0.445812,5
2.500000,-5.000000,k_tz,1270.967466,5656.199613,0.224703,0.707107,0.317779,0.218298,5
2.500000,-5.500000,k_tz,2152.694992,1315.643811,1.636229,0.738549,2.215465,0.057333,5
2.500000,-6.000000,k_tz,522.406075,4011.991303,0.130211,0.763763,0.170486,0.050508,5
2.500000,-6.500000,k_tz,3168.773018,1182.523335,2.679671,0.784465,3.415923,0.181463,5
2.500000,-7.000000,k_tz,2957.488045,6496.250382,0.455261,0.801784,0.567810,0.283046,5
