scour_depth,node_depth,k_py,p_ult_py,k_tz,t_ult_tz
2.000000,-3.671053,3528162762.198146,56804.266802,7187990002.720635,118996.418131
2.000000,-3.181579,3620571522.873825,15192.350585,7187820329.183290,93427.529434
2.000000,-2.692105,3714694139.576887,0.000000,7187618456.708296,75680.583648
2.000000,-2.202632,3807526977.974461,0.000000,7187384435.741112,65388.540949
2.000000,-1.713158,3896404443.709477,0.000000,7187118324.742463,62469.223600
2.000000,-1.223684,3979124022.018652,0.000000,7186820190.164006,66753.910143
2.000000,-0.734211,4054027747.017937,9340.037566,7186490106.420667,77602.573046
2.000000,-0.244737,4120036618.033919,35333.012117,7186128155.859686,93727.043142
2.500000,-9.055263,3288902703.484902,879262.394533,6879987840.430983,1119117.261754
2.500000,-8.565789,3223405574.680327,881484.688750,6879970073.093431,1295801.723014
2.500000,-8.076316,3170525247.741557,861470.556512,6879945604.694128,1416236.919311
2.500000,-7.586842,3132510737.280587,818855.003937,6879914441.199070,1457181.396769
2.500000,-7.097368,3111130008.364675,755122.337876,6879876590.272679,1409855.255107
2.500000,-6.607895,3107546508.637672,673526.286663,6879832061.274667,1282588.514139
2.500000,-6.118421,3122227732.097509,578793.640026,6879780865.256173,1098149.516368
2.500000,-5.628947,3154894846.817611,476651.642934,6879723014.955198,886883.001288
2.500000,-5.139474,3204519468.328876,373246.464759,6879658524.791320,678430.887972
2.500000,-4.650000,3269369881.996231,274534.784735,6879587410.859702,495076.635750
2.500000,-4.160526,3347104744.217267,185730.693035,6879509690.924401,348652.495693
2.500000,-3.671053,3434907955.540147,110876.556913,6879425384.410971,241202.795123
2.500000,-3.181579,3529654484.666031,52582.718652,6879334512.398370,168140.675017
2.500000,-2.692105,3628093908.365809,11952.015720,6879237097.610179,122067.988734
2.500000,-2.202632,3727036717.391518,0.000000,6879133164.405128,95767.612296
2.500000,-1.713158,3823528275.586185,0.000000,6879022738.766951,83706.267690
2.500000,-1.223684,3914996766.258690,0.000000,6878905848.293549,82188.204636
2.500000,-0.734211,3999364357.909487,4220.195767,6878782522.185507,88746.560729
2.500000,-0.244737,4075114810.600235,28730.727432,6878652791.233930,101398.313878
3.000000,-9.055263,3474504951.087193,1013347.057303,6604658867.953216,704027.128438
3.000000,-8.565789,3427404680.907091,1026636.062640,6604499274.857353,808767.547251
3.000000,-8.076316,3391030743.269473,1014313.135777,6604355865.751612,875298.374591
3.000000,-7.586842,3366911590.650835,975343.977345,6604228676.299669,887445.850321
3.000000,-7.097368,3356164040.076230,910833.105672,6604117738.147850,839728.961734
3.000000,-6.607895,3359414303.553661,823999.922248,6604023078.911997,739386.819211
3.000000,-6.118421,3376745030.777629,719896.336279,6603944722.166015,604241.270165
3.000000,-5.628947,3407673889.826104,604902.614210,6603882687.432090,457268.298727
3.000000,-5.139474,3451167094.543960,486072.907384,6603836990.172581,320106.006616
3.000000,-4.650000,3505688626.859216,370423.644321,6603807641.783596,207955.717037
3.000000,-4.160526,3569282897.468960,264262.985612,6603794649.590256,127426.360747
3.000000,-3.671053,3639685525.181870,172647.716594,6603798016.843649,77431.422860
3.000000,-3.181579,3714454141.760049,99028.540571,6603817742.719472,52053.223625
3.000000,-2.692105,3791109009.940229,45111.401526,6603853822.318371,43837.042422
3.000000,-2.202632,3867272098.827127,10927.919826,6603906246.667962,46277.972700
3.000000,-1.713158,3940793308.936415,0.000000,6603975002.726560,54965.483261
3.000000,-1.223684,4009853838.601528,0.000000,6604060073.388575,67527.590973
3.000000,-0.734211,4073039112.264845,7838.238823,6604161437.491611,82897.899367
3.000000,-0.244737,4129376953.403998,29930.237145,6604279069.825241,100469.907430
3.500000,-9.055263,4391316940.073347,1118332.482617,6547139193.682553,161451.611354
3.500000,-8.565789,4531884803.901578,1141946.347864,6546963182.283139,164413.611259
3.500000,-8.076316,4702064022.254516,1137570.173517,6546808153.847072,163217.618138
