scour_depth,depth_below_mudline,alpha_fem
2.0,3.435789465904218,
2.0,2.977684203783653,21.725194614826695
2.0,2.519578941663088,21.160113310043002
2.0,2.061473679542523,
2.0,1.603368417421958,
2.0,1.145263155301393,6.6184384096313975
2.0,0.687157893180828,4.241262845989428
2.0,0.2290526310602633,
2.5,8.912733912467939,3.260584769528142
2.5,8.455670634905479,3.828598143297377
2.5,7.99860735734302,4.868994987507734
2.5,7.54154407978056,5.131859416781486
2.5,7.084480802218101,8.579416675587652
2.5,6.627417524655641,7.400785450815135
2.5,6.170354247093182,9.246650753501532
2.5,5.713290969530723,10.263249415214272
2.5,5.256227691968263,13.142567900436015
2.5,4.799164414405804,13.461115432394338
2.5,4.342101136843345,15.284686178166192
2.5,3.8850378592808856,11.802402922987053
2.5,3.427974581718426,16.052793809478377
2.5,2.9709113041559667,
2.5,2.5138480265935077,18.04801189457927
2.5,2.056784749031048,10.164305248999685
2.5,1.5997214714685888,
2.5,1.1426581939061298,3.3673504690673903
2.5,0.6855949163436703,2.084581968977886
2.5,0.2285316387812107,
3.5,8.940587043762196,5.760435989527981
3.5,8.482095400492337,10.351105536961494
3.5,8.023603757222482,10.481258820962362
3.5,7.565112113952624,14.750321220029356
3.5,7.106620470682767,20.92481996851523
3.5,6.64812882741291,17.10561834764724
3.5,6.189637184143052,18.583468735596025
3.5,5.731145540873196,20.406111212291535
3.5,5.272653897603338,19.839015645047283
3.5,4.814162254333481,18.398962913760485
3.5,4.355670611063624,20.623619528057667
3.5,3.8971789677937663,15.130251291843088
3.5,3.438687324523909,
3.5,2.980195681254052,23.295382103801604
3.5,2.521704037984195,22.02561316181224
3.5,2.0632123947143377,
3.5,1.6047207514444803,
3.5,1.1462291081746234,6.6705280392475945
3.5,0.6877374649047665,4.603395035704524
3.5,0.2292458216349095,
3.0,8.925797438621506,5.029369983602043
3.0,8.468064236640915,8.902057542916069
3.0,8.010331034660325,9.695167485514013
3.0,7.552597832679734,13.099484162818948
3.0,7.094864630699142,18.841503065086826
3.0,6.637131428718551,15.450183768634217
3.0,6.179398226737961,17.127318995409308
3.0,5.721665024757369,
3.0,5.263931822776778,18.771556307742593
3.0,4.806198620796186,16.85668952880938
3.0,4.3484654188155965,20.20325311341676
3.0,3.890732216835005,13.930510082013088
3.0,3.4329990148544134,19.14600718429261
3.0,2.9752658128738223,
3.0,2.517532610893232,
3.0,2.059799408912641,11.511668299821396
3.0,1.602066206932049,
3.0,1.1443330049514575,6.0170835921006205
3.0,0.6865998029708669,
3.0,0.2288666009902766,
4.0,8.957291793823224,7.229176643304297
4.0,8.497943496704085,12.910175006383733
4.0,8.038595199584943,11.849834104271268
4.0,7.579246902465802,14.50881680461298
4.0,7.119898605346662,20.7868059280847
4.0,6.660550308227521,18.11974724424383
4.0,6.20120201110838,18.308771723495827
4.0,5.741853713989239,19.73099712828655
4.0,5.282505416870099,20.371189923118077
4.0,4.823157119750958,18.739236053939862
4.0,4.3638088226318175,20.760221952446276
4.0,3.904460525512676,
4.0,3.445112228393536,19.728702182473373
4.0,2.9857639312743958,
4.0,2.526415634155254,23.64280431759231
4.0,2.067067337036113,
4.0,1.6077190399169732,
4.0,1.148370742797833,7.222156724204848
4.0,0.6890224456786918,4.682972663274476
4.0,0.2296741485595509,
