run,S_D,scour_m,su0,k_su,Hmax_kN,H_ratio,V_ratio,f1_Hz,f1_f0,fixity_proxy
101,0.0,0.0,24.00722844588809,42.98935680409672,48154.30859375,1.0,1.0,0.26537099553492566,1.0109605248218225,0.2556484988578829
103,0.0,0.0,12.108535441175633,16.882563925706556,20457.453125,1.0,1.0,0.26136744088445374,0.9957085350463942,0.28264530903024565
102,0.0,0.0,13.812974613514225,25.37385729152682,31585.115234375,1.0,1.0,0.2637819866429316,1.004907017504044,0.2667552442869649
104,0.0,0.0,14.135389122757184,13.93720098479418,18390.681640625,1.0,1.0,0.2606346963863719,0.9929170628252197,0.2871790681638285
105,0.0,0.0,15.940440830741338,19.61306029148915,23921.916015625,1.0,1.0,0.2623595508935064,0.9994880892264245,0.27618606619546243
106,0.0,0.0,10.507956885184928,12.419157103765526,16167.7705078125,1.0,1.0,0.25960792260249044,0.9890054531131875,0.2936040489637992
107,0.0,0.0,22.52925738905629,27.80196442115656,34468.3515625,1.0,1.0,0.2641780870154411,1.0064160062300618,0.2639641825410799
108,0.0,0.0,13.601275733122552,19.78473762884359,24317.798828125,1.0,1.0,0.2624467778190407,0.9998203899672761,0.2756547191027155
109,0.0,0.0,17.630732025370495,15.257606109724431,20930.765625,1.0,1.0,0.26154954115275814,0.9964022664108341,0.28133438276137385
110,0.0,0.0,15.521045086188565,14.974911273212944,19389.021484375,1.0,1.0,0.26101926164405037,0.9943821072395395,0.28474874604729256
111,0.0,0.0,19.93257012483924,24.35542952944753,31463.259765625,1.0,1.0,0.26377987365379507,1.0048989678353073,0.26669107995164415
112,0.0,0.0,13.342706988232525,38.44702917092705,44523.62109375,1.0,1.0,0.2651101612435606,1.0099668473795747,0.2575628188572573
113,0.0,0.0,26.118756970117133,33.23074729537084,40971.1953125,1.0,1.0,0.2648457466515307,1.0089595303810073,0.259322805397104
114,0.0,0.0,15.06732872078145,15.176317795794915,20285.361328125,1.0,1.0,0.26132973340254,0.9955648841714055,0.28278963545673375
115,0.0,0.0,14.18551199047422,19.976853483608807,23912.958984375,1.0,1.0,0.2623505753000873,0.9994538956981709,0.27627895559741833
116,0.0,0.0,14.588853801326108,13.693856759922072,18367.755859375,1.0,1.0,0.26062897577116395,0.9928952695009673,0.2871977653333429
117,0.0,0.0,13.371232632753154,24.95964992452356,30697.181640625,1.0,1.0,0.2636499346694719,1.0044039507234281,0.26765792378955433
118,0.0,0.0,15.442866638100211,15.119840915798015,20740.439453125,1.0,1.0,0.26148080647763733,0.9961404139687707,0.28181483601096363
119,0.0,0.0,10.730264623887884,14.193116890239258,18212.958984375,1.0,1.0,0.2605426737561406,0.9925664923102825,0.2878517030830206
120,0.0,0.0,17.258056793097463,14.025697955376565,19318.73828125,1.0,1.0,0.26100579777682736,0.9943308151296144,0.2847745051129487
121,0.0,0.0,14.277176901607174,28.79376848082412,33128.8671875,1.0,1.0,0.2639915376963012,1.0057053257082411,0.26533533063222753
122,0.0,0.0,14.342936948067091,18.68413584501636,23541.033203125,1.0,1.0,0.2622618564990957,0.9991159114906986,0.27684077849540123
123,0.0,0.0,13.983690450665812,21.209026109320337,26004.5546875,1.0,1.0,0.2628208311700134,1.0012453880958336,0.27319121433507865
